,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,squirrel,coordinate,type
0,0,0,0,0,0,0,0,0,Alaska,"39°09'58.2""N 86°31'13.1""W",favorite_spot
1,1,1,1,1,1,1,1,1,Alaska,"39°09'56.4""N 86°31'09.5""W",territory
2,2,2,2,2,2,2,2,2,Alaska,"39°09'55.7""N 86°31'14.5""W",territory
3,3,3,3,3,3,3,3,3,Alaska,"39°09'59.6""N 86°31'14.8""W",territory
4,4,4,4,4,4,4,4,4,Alaska,"39°09'59.8""N 86°31'08.7""W",territory
5,5,5,5,5,5,5,5,5,Albus Jordan,"39°09'51.8""N 86°31'11.2""W",territory
6,6,6,6,6,6,6,6,6,Albus Jordan,"39°09'54.6""N 86°31'11.5""W",territory
7,7,7,7,7,7,7,7,7,Albus Jordan,"39°09'54.4""N 86°31'18.0""W",territory
8,8,8,8,8,8,8,8,8,Albus Jordan,"39°09'51.8""N 86°31'17.5""W",territory
9,9,9,9,9,9,9,9,9,Albus Jordan,"39°09'52.6""N 86°31'13.2""W",favorite_spot
10,10,10,10,10,10,10,10,10,Autumn,"39°10'02.0""N 86°31'28.4""W",territory
11,11,11,11,11,11,11,11,11,Autumn,"39°10'02.0""N 86°31'26.2""W",territory
12,12,12,12,12,12,12,12,12,Autumn,"39°09'58.9""N 86°31'25.7""W",territory
13,13,13,13,13,13,13,13,13,Autumn,"39°09'58.8""N 86°31'23.4""W",territory
14,14,14,14,14,14,14,14,14,Autumn,"39°09'55.4""N 86°31'23.8""W",territory
15,15,15,15,15,15,15,15,15,Autumn,"39°09'57.2""N 86°31'27.6""W",territory
16,16,16,16,16,16,16,16,16,Autumn,"39°10'01.0""N 86°31'27.1""W",favorite_spot
17,17,17,17,17,17,17,17,17,Bear,"39°10'17.4""N 86°31'04.4""W",favorite_spot
18,18,18,18,18,18,18,18,18,Bear,"39°10'17.3""N 86°30'57.2""W",favorite_spot
19,19,19,19,19,19,19,19,19,Bear,"39°10'13.1""N 86°30'58.6""W",favorite_spot
20,20,20,20,20,20,20,20,20,Bear,"39°10'13.6""N 86°31'02.6""W",favorite_spot
21,21,21,21,21,21,21,21,21,Bear,"39°10'14.1""N 86°30'59.3""W",territory
22,22,22,22,22,22,22,22,22,Belle,"39°10'13.8""N 86°31'25.0""W",favorite_spot
23,23,23,23,23,23,23,23,23,Belle,"39°10'17.7""N 86°31'25.0""W",favorite_spot
24,24,24,24,24,24,24,24,24,Belle,"39°10'17.8""N 86°31'29.0""W",favorite_spot
25,25,25,25,25,25,25,25,25,Belle,"39°10'13.9""N 86°31'28.9""W",favorite_spot
26,26,26,26,26,26,26,26,26,Belle,"39°10'15.8""N 86°31'27.2""W",territory
27,27,27,27,27,27,27,27,27,Brenda,"39°09'52.1""N 86°31'00.1""W",favorite_spot
28,28,28,28,28,28,28,28,28,Brenda,"39°09'58.0""N 86°30'59.8""W",favorite_spot
29,29,29,29,29,29,29,29,29,Brenda,"39°09'57.3""N 86°31'05.8""W",favorite_spot
30,30,30,30,30,30,30,30,30,Brenda,"39°09'51.8""N 86°31'06.0""W",favorite_spot
31,31,31,31,31,31,31,31,31,Brenda,"39°09'54.2""N 86°31'04.7""W",territory
32,32,32,32,32,32,32,32,32,Buddy Joe,"39°10'00.7""N 86°31'32.2""W",territory
33,33,33,33,33,33,33,33,33,Buddy Joe,"39°09'56.3""N 86°31'33.2""W",territory
34,34,34,34,34,34,34,34,34,Buddy Joe,"39°09'56.5""N 86°31'36.4""W",territory
35,35,35,35,35,35,35,35,35,Buddy Joe,"39°10'01.3""N 86°31'36.4""W",territory
36,36,36,36,36,36,36,36,36,Buddy Joe,"39°10'00.0""N 86°31'35.4""W",favorite_spot
37,37,37,37,37,37,37,37,37,Bumpkin,"39°10'00.1""N 86°31'30.6""W",territory
38,38,38,38,38,38,38,38,38,Bumpkin,"39°10'00.1""N 86°31'25.4""W",territory
39,39,39,39,39,39,39,39,39,Bumpkin,"39°10'01.7""N 86°31'23.4""W",territory
40,40,40,40,40,40,40,40,40,Bumpkin,"39°10'03.2""N 86°31'23.4""W",territory
41,41,41,41,41,41,41,41,41,Bumpkin,"39°10'03.0""N 86°31'30.4""W",territory
42,42,42,42,42,42,42,42,42,Bumpkin,"39°10'00.9""N 86°31'27.6""W",favorite_spot
43,43,43,43,43,43,43,43,43,Charlotte,"39°09'51.7""N 86°31'06.4""W",territory
